periode,cash_in_echannel,cash_out_echannel,cash_in_kantor,cash_out_kantor,cr_ketetapan_total_bkn_sum,giro,deposito,kewajiban_lain,tabungan,rata_dpk_mingguan,kas_kantor,kas_echannel
2019-07-31,730300000.0,-1304400000.0,143672192130.8,-110610408929.8,3.0,986735795777.83,804815274664.0,14196848459.12,707264699463.87,313574394799.0449,1928940301.0,2939100000.0
2019-08-01,732200000.0,-832150000.0,314413086449.56,-67109868150.56,3.0,896245873470.9899,812561062808.0,12340617510.22,701199530872.45,313574394799.045,249232158600.0,2839150000.0
2019-08-02,1169800000.0,-621400000.0,1251294500.0,-1142331700.0,3.0,905971391306.9899,812722521246.0,11820222539.22,692278704326.4501,313574394799.045,249341121400.0,3387550000.0
2019-08-03,913450000.0,-424050000.0,0.0,0.0,3.0,905712658308.9899,812725257672.0,11996399444.220001,686722378756.3499,313574394799.0449,249341121400.0,3876950000.0
2019-08-04,775250000.0,-777950000.0,98833307801.0,-87292735001.0,3.0,978834724298.36,812471056629.0,12329618630.220001,681343849771.0499,313574394799.0449,260881694200.0,3874250000.0
2019-08-05,1243150000.0,-1488550000.0,152801775688.32,-136200760988.32,3.0,1128247933756.71,824519164731.0,12176771730.519999,665501430551.4901,313574394799.045,277482708900.0,3628850000.0
2019-08-06,558800000.0,-774800000.0,58247734212.0,-73306233312.0,3.0,1095003680829.5599,815291772694.0,13706725142.519999,665897763611.5199,313574394799.045,262424209800.0,3412850000.0
2019-08-07,488550000.0,-652400000.0,69084653482.0,-49415454882.0,3.0,1039522092727.85,815267106824.0,13684684393.52,663127648485.14,330677014006.0625,282093408400.0,3249000000.0
2019-08-08,722500000.0,-724300000.0,273956903571.0,-74224296371.0,3.0,1149507593973.84,832069541906.0,12096037258.34,651164212650.23,330677014006.06256,481826015600.0,3247200000.0
2019-08-09,856700000.0,-640350000.0,1582057703.0,-1529425203.0,3.0,1153623455642.8398,832065119644.0,12277099611.34,645113922306.13,330677014006.0625,481878648100.0,3463550000.0
2019-08-10,446650000.0,-159850000.0,0.0,0.0,3.0,1154780756581.45,832070294866.0,12441548135.34,641988814423.3099,330677014006.0625,481878648100.0,3750350000.0
2019-08-11,456050000.0,-586000000.0,158532502039.0,-81782613639.0,3.0,1372998268699.92,818725388319.0,11806052276.34,638657953866.74,330677014006.0625,558628536500.0,3620400000.0
2019-08-12,395800000.0,-637900000.0,37537234528.8,-108013322128.8,3.0,1323620453765.7402,818441283370.0,11098659136.34,637055900477.4701,330677014006.06256,488152448900.00006,3378300000.0
2019-08-13,472450000.0,-634050000.0,46095553294.0,-90853080694.0,3.0,1061385044515.74,818247691640.0,10881812071.34,634688049152.74,330677014006.0625,443394921500.00006,3216700000.0
2019-08-14,467900000.0,-500950000.0,54059181730.6,-62713495830.6,3.0,1037825074981.6699,818288889683.0,10889694082.519999,635642929962.2902,330677014006.0625,434740607400.00006,3183650000.0
2019-08-15,919900000.0,-571500000.0,195224893141.0,-102179794241.0,3.0,983778947144.2601,816257830865.0,10887354623.920002,637869610903.66,312154173732.1887,527785706300.0,3532050000.0
2019-08-16,681200000.0,-311100000.0,53221500.0,0.0,3.0,988037006218.26,816250435367.0,11054725291.920002,634092426773.03,312154173732.1888,527838927800.0,3902150000.0
2019-08-17,0.0,0.0,0.0,0.0,3.0,993767472722.2601,816253168325.0,11223721157.920002,629759891302.5199,312154173732.1887,527838927800.0,3902150000.0
2019-08-18,675700000.0,-878050000.0,142092123690.75,-120074621890.75,3.0,957880429735.4701,805133200590.0,11397831647.920002,628320165077.8699,312154173732.1887,549856429600.0,3699800000.0
2019-08-19,644950000.0,-590000000.0,36121865493.0,-106409641893.0,3.0,992185624337.6699,805123311506.0,11131402919.92,627719340116.9401,312154173732.1888,479568653200.0,3754750000.0
